1|2|3|hh|30|8.062
1|1|3|fffff|120|8.766
1|2|5|àààà|120|30.517
1|3|5|Kanzu32|120|21.438
1|1|5|hh|60|18.769
1|1|5|hh|80|25.83
1|3|5|hh|0|12.658
1|1|5|hh|60|16.972
1|1|5|îî|60|29.106
1|1|5|hh|30|22.508
1|1|5|hh|60|50.732
1|1|5|ggg|120|40.017
1|1|5|ggg|120|8.045
1|1|5|hh|120|27.993
1|1|5|hhh|120|21.987
1|1|5|hh|0|10.89
1|1|5|hh|0|10.807
1|1|5|hh|100|25.502
1|1|5|hh|0|10.923
1|1|5|hh|0|18.473
1|1|5|hh|0|10.829
1|1|5|hhh|0|10.854
1|1|5|jj|0|10.874
1|1|5|hhh|0|12.092
1|1|5|jj|0|10.872
1|1|5|hh|0|10.816
1|1|5|hh|0|17.359
1|1|5|hh|0|10.84
1|1|5|hhh|0|10.852
1|1|5|hh|0|10.884
1|1|5|hh|0|10.891
1|1|5|hh|120|15.478
1|1|5|gg|80|37.923
1|1|5|gg|120|19.521
1|1|5|hhh|120|16.638
1|1|5|gg|0|10.825
badLevel|1|5|hh|0|19.504
1|1|5|GG|120|15.347
1|2|5|îî|120|18.982
1|3|5|hh|120|13.747
1|1|5|ðð|120|11.134
1|2|5|TEST|120|16.539
morePlayers|1|5|EXTREME|0|18.876
